Date : 2022-11-25 05:44:25
Directory : c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement
Total : 94 files,  8679 codes, 412 comments, 1702 blanks, all 10793 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| HTML     |         60 |      7,190 |        275 |      1,239 |      8,704 |
| Python   |         32 |      1,245 |        137 |        450 |      1,832 |
| CSS      |          1 |        175 |          0 |          4 |        179 |
| Markdown |          1 |         69 |          0 |          9 |         78 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |         94 |      8,679 |        412 |      1,702 |     10,793 |
| hospital                                                                                                                    |         26 |      1,071 |         77 |        366 |      1,514 |
| hospital\migrations                                                                                                         |         20 |        339 |         19 |        116 |        474 |
| hospitalmanagement                                                                                                          |          5 |        159 |         58 |         79 |        296 |
| static                                                                                                                      |          1 |        175 |          0 |          4 |        179 |
| templates                                                                                                                   |         60 |      7,190 |        275 |      1,239 |      8,704 |
| templates\hospital                                                                                                          |         60 |      7,190 |        275 |      1,239 |      8,704 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\README.md                                                | Markdown |         69 |          0 |          9 |         78 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\__init__.py                                     | Python   |          0 |          0 |          1 |          1 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\admin.py                                        | Python   |         14 |          1 |          4 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\apps.py                                         | Python   |          3 |          0 |          3 |          6 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\forms.py                                        | Python   |         49 |          7 |         19 |         75 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0001_initial.py                      | Python   |         44 |          1 |          7 |         52 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0002_delete_teacherextra.py          | Python   |         10 |          1 |          6 |         17 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0003_patient_admitdate.py            | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0004_patientdischargedetails.py      | Python   |         27 |          1 |          6 |         34 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0005_appointment.py                  | Python   |         17 |          1 |          6 |         24 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0006_appointment_status.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0007_auto_20200520_1023.py           | Python   |         27 |          1 |          6 |         34 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0008_doctor_profile_pic.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0009_auto_20200523_1118.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0010_auto_20200523_1122.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0011_auto_20200523_1325.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0012_auto_20200523_1336.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0013_patient_profile_pic.py          | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0014_auto_20200526_1455.py           | Python   |         12 |          1 |          6 |         19 |
| c:\Users\hanee\OneDrive\Desktop\Github_Projects\hospitalmanagement\hospital\migrations\0015_auto_20200526_1501.py           | Python   |         17 |          1 |          6 |         24 |
